,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
0,157138,15638646,Chinweike,628.0,Spain,Female,50.0,4,160133.08,1,1,1,653.53,0
1,116144,15695825,Onwumelu,710.0,Spain,Male,34.0,8,0.0,2,1,1,72993.73,0
2,145603,15592765,Marks,663.0,France,Female,23.0,8,125470.81,1,1,1,174536.17,0
3,79929,15807525,Onyemachukwu,644.0,Spain,Male,45.0,8,0.0,2,0,1,28690.9,0
4,52554,15611551,Hill,627.0,Spain,Male,23.0,5,0.0,2,1,0,134483.07,0
5,35329,15603683,Onyemachukwu,754.0,Spain,Male,39.0,8,0.0,2,1,1,172450.04,0
6,90546,15716800,Uspensky,616.0,France,Female,32.0,9,0.0,1,0,1,146652.11,0
7,13897,15746802,Macdonald,477.0,France,Male,30.0,4,131286.46,2,0,1,194144.45,0
8,121870,15648075,Tikhonov,526.0,Spain,Female,31.0,4,0.0,2,1,0,111149.98,0
9,42559,15811970,Aitken,597.0,France,Male,34.0,1,0.0,2,1,1,61936.1,0
10,28635,15775703,Onyemere,745.0,France,Male,25.0,3,0.0,2,1,1,167720.75,0
11,58958,15665032,Hs?eh,705.0,Germany,Male,37.0,5,93791.21,1,0,1,155786.66,0
12,53008,15690546,Nwachukwu,648.0,Germany,Male,32.0,2,144574.48,1,1,0,171039.3,0
13,144365,15690164,Ts'ai,718.0,France,Male,32.0,2,0.0,2,1,1,93777.63,0
14,114901,15673074,Shih,619.0,France,Female,47.0,5,0.0,2,1,0,738.88,0
15,93797,15627027,Shih,738.0,France,Male,28.0,5,0.0,2,0,0,114388.98,0
16,110723,15606901,Hsia,576.0,France,Male,31.0,9,110738.89,1,0,1,196395.25,0
17,64816,15753591,He,438.0,France,Male,40.0,2,0.0,2,0,0,136859.55,0
18,79806,15737354,Chiawuotu,792.0,France,Female,44.0,3,0.0,2,0,0,143944.69,0
19,109304,15672574,Tung,646.0,Germany,Female,47.0,1,133970.23,1,0,0,172576.43,1
20,7467,15657747,Zito,745.0,France,Female,32.0,10,0.0,2,0,1,179705.13,0
21,5988,15770091,Trevisano,579.0,Spain,Female,28.0,2,0.0,2,0,1,10072.54,0
22,35584,15782231,Yuryeva,652.0,France,Male,37.0,8,0.0,2,0,0,120892.96,0
23,111080,15586974,T'ien,627.0,France,Female,37.0,7,0.0,2,0,0,156660.21,0
24,161253,15569274,Hsiung,494.0,France,Male,29.0,9,93616.35,2,1,0,24489.44,0
25,136315,15657957,Hughes,602.0,Germany,Male,26.0,8,113674.2,1,1,0,197861.16,1
26,31831,15732265,Manna,679.0,Spain,Male,28.0,1,0.0,2,1,1,159800.28,0
27,66426,15640789,Butler,850.0,France,Female,32.0,6,0.0,2,0,1,141872.52,0
28,3487,15773890,Okechukwu,733.0,France,Female,22.0,2,0.0,2,1,0,117202.19,1
29,91094,15654975,Lombardo,803.0,Germany,Female,37.0,7,148071.12,1,1,1,141763.26,0
30,54132,15736112,Lombardi,769.0,France,Male,39.0,5,0.0,1,1,1,96685.1,0
31,152863,15756481,Hernandez,645.0,Spain,Male,30.0,8,0.0,2,1,1,115994.52,0
32,117422,15636127,Chiemela,635.0,France,Female,53.0,4,51690.91,1,1,1,83553.76,0
33,36730,15581249,Folliero,579.0,France,Male,30.0,8,0.0,2,0,1,153392.72,0
34,104664,15627859,Chiebuka,714.0,France,Male,36.0,10,102768.42,1,0,1,119259.74,0
35,83139,15662151,Fanucci,634.0,France,Male,40.0,4,0.0,1,0,0,168780.04,1
36,40377,15707918,Ch'eng,651.0,Germany,Male,48.0,5,111565.91,1,1,1,91566.67,1
37,60696,15694556,Nkemakolam,652.0,France,Male,38.0,7,0.0,1,0,0,43801.27,0
38,84447,15752375,Ojiofor,551.0,Germany,Female,33.0,8,149564.61,1,1,0,149913.84,0
39,101738,15716334,Cunningham,739.0,Spain,Male,40.0,2,0.0,3,1,1,129650.77,1
40,103399,15603830,Walker,551.0,France,Male,33.0,4,0.0,1,1,0,122580.48,0
41,137926,15588838,T'ao,668.0,Spain,Female,38.0,9,0.0,2,1,1,47468.67,0
42,47337,15772329,McCarthy,517.0,Germany,Female,59.0,8,154110.99,1,1,0,101240.08,0
43,105160,15641519,Nkemdirim,709.0,Spain,Male,55.0,0,104784.23,1,0,1,132468.76,0
44,102240,15776422,Fiorentini,547.0,Spain,Female,38.0,9,79871.04,1,1,1,54498.41,0
45,131386,15623196,Lu,702.0,France,Female,46.0,4,95523.16,2,0,0,141756.32,0
46,61693,15621520,Chijindum,712.0,France,Female,35.0,4,147974.15,1,1,1,181221.09,0
47,153288,15595874,Niu,540.0,Germany,Female,54.0,4,127278.31,1,1,0,16150.34,1
48,138991,15659094,Ch'ien,611.0,Germany,Male,30.0,8,145731.51,1,0,1,122865.85,0
49,101012,15796569,Donaldson,834.0,France,Male,44.0,10,0.0,1,0,0,47729.33,0
